Invoice Date,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Invoice ID,Retailer ID
2020-01-01,Men's Street Footwear,50,1200,600000,300000,50,In-store,66366927,3004
2020-01-02,Men's Athletic Footwear,50,1000,500000,150000,30,In-store,17106320,3004
2020-01-03,Women's Street Footwear,40,1000,400000,140000,35,In-store,80047978,3004
2020-01-04,Women's Athletic Footwear,45,850,382500,133875,35,In-store,41742888,3004
2020-01-05,Men's Apparel,60,900,540000,162000,30,In-store,37913098,3004
2020-01-06,Women's Apparel,50,1000,500000,125000,25,In-store,38955199,3004
2020-01-07,Men's Street Footwear,50,1250,625000,312500,50,In-store,92057165,3004
2020-01-08,Men's Athletic Footwear,50,900,450000,135000,30,Outlet,69165290,3004
2020-01-21,Women's Street Footwear,40,950,380000,133000,35,Outlet,71721187,3004
2020-01-22,Women's Athletic Footwear,45,825,371250,129938,35,Outlet,95243707,3004
2020-01-23,Men's Apparel,60,900,540000,162000,30,Outlet,80340589,3004
2020-01-24,Women's Apparel,50,1000,500000,125000,25,Outlet,93599223,3004
2020-01-25,Men's Street Footwear,50,1220,610000,305000,50,Outlet,56245958,3004
2020-01-26,Men's Athletic Footwear,50,925,462500,138750,30,Outlet,29347768,3004
2020-01-27,Women's Street Footwear,40,950,380000,133000,35,Outlet,78981590,3004
2020-01-28,Women's Athletic Footwear,45,800,360000,126000,35,Outlet,92443952,3004
2020-01-29,Men's Apparel,60,850,510000,153000,30,Outlet,80067537,3004
2020-01-30,Women's Apparel,50,950,475000,118750,25,Outlet,59604284,3004
2020-01-31,Men's Street Footwear,50,1200,600000,300000,50,Outlet,25595634,3004
2020-02-01,Men's Athletic Footwear,50,900,450000,135000,30,Outlet,22813950,3004
2020-02-02,Women's Street Footwear,40,900,360000,126000,35,Outlet,82459238,3004
2020-02-03,Women's Athletic Footwear,45,825,371250,129938,35,Outlet,55886559,3004
2020-02-04,Men's Apparel,60,825,495000,148500,30,Outlet,14239213,3004
2020-02-05,Women's Apparel,50,950,475000,118750,25,Outlet,71521172,3004
2020-02-06,Men's Street Footwear,60,1220,732000,366000,50,Outlet,38992834,3004
2020-02-07,Men's Athletic Footwear,55,925,508750,152625,30,Outlet,93668362,3004
2020-02-08,Women's Street Footwear,50,900,450000,157500,35,Outlet,66745186,3004
2020-02-09,Women's Athletic Footwear,50,850,425000,148750,35,Outlet,54557734,3004
2020-02-10,Men's Apparel,60,875,525000,157500,30,Outlet,13816849,3004
2020-03-03,Women's Apparel,65,1000,650000,162500,25,Outlet,51788809,3004
2020-03-04,Men's Street Footwear,60,1250,750000,375000,50,Outlet,93580601,3004
2020-03-05,Men's Athletic Footwear,55,1000,550000,165000,30,Outlet,44416921,3004
2020-03-06,Women's Street Footwear,50,925,462500,161875,35,Outlet,61291990,3004
2020-03-07,Women's Athletic Footwear,50,900,450000,157500,35,Outlet,60094591,3004
2020-03-08,Men's Apparel,60,900,540000,162000,30,Outlet,97103409,3004
2020-03-09,Women's Apparel,65,1050,682500,170625,25,Outlet,69753165,3004
2020-03-10,Men's Street Footwear,60,1275,765000,382500,50,Outlet,18794157,3004
2020-03-11,Men's Athletic Footwear,55,1025,563750,169125,30,Outlet,29858723,3004
2020-03-12,Women's Street Footwear,50,950,475000,166250,35,Outlet,84772511,3004
2020-03-13,Women's Athletic Footwear,50,900,450000,157500,35,Outlet,24534582,3004
