Retailer,Region,State,City,Operating Profit,Operating Margin,Retailer ID
Foot Locker,Northeast,New York,New York,300000,50,3004
Foot Locker,Northeast,New York,New York,150000,30,3004
Foot Locker,Northeast,New York,New York,140000,35,3004
Foot Locker,Northeast,New York,New York,133875,35,3004
Foot Locker,Northeast,New York,New York,162000,30,3004
Foot Locker,Northeast,New York,New York,125000,25,3004
Foot Locker,Northeast,New York,New York,312500,50,3004
Foot Locker,Northeast,New York,New York,135000,30,3004
Foot Locker,Northeast,New York,New York,133000,35,3004
Foot Locker,Northeast,New York,New York,129938,35,3004
Foot Locker,Northeast,New York,New York,162000,30,3004
Foot Locker,Northeast,New York,New York,125000,25,3004
Foot Locker,Northeast,New York,New York,305000,50,3004
Foot Locker,Northeast,New York,New York,138750,30,3004
Foot Locker,Northeast,New York,New York,133000,35,3004
Foot Locker,Northeast,New York,New York,126000,35,3004
Foot Locker,Northeast,New York,New York,153000,30,3004
Foot Locker,Northeast,New York,New York,118750,25,3004
Foot Locker,Northeast,New York,New York,300000,50,3004
Foot Locker,Northeast,New York,New York,135000,30,3004
Foot Locker,Northeast,New York,New York,126000,35,3004
Foot Locker,Northeast,New York,New York,129938,35,3004
Foot Locker,Northeast,New York,New York,148500,30,3004
Foot Locker,Northeast,New York,New York,118750,25,3004
Foot Locker,Northeast,New York,New York,366000,50,3004
Foot Locker,Northeast,New York,New York,152625,30,3004
Foot Locker,Northeast,New York,New York,157500,35,3004
Foot Locker,Northeast,New York,New York,148750,35,3004
Foot Locker,Northeast,New York,New York,157500,30,3004
Foot Locker,Northeast,New York,New York,162500,25,3004
Foot Locker,Northeast,New York,New York,375000,50,3004
Foot Locker,Northeast,New York,New York,165000,30,3004
Foot Locker,Northeast,New York,New York,161875,35,3004
Foot Locker,Northeast,New York,New York,157500,35,3004
Foot Locker,Northeast,New York,New York,162000,30,3004
Foot Locker,Northeast,New York,New York,170625,25,3004
Foot Locker,Northeast,New York,New York,382500,50,3004
Foot Locker,Northeast,New York,New York,169125,30,3004
Foot Locker,Northeast,New York,New York,166250,35,3004
Foot Locker,Northeast,New York,New York,157500,35,3004
Foot Locker,Northeast,New York,New York,166500,30,3004
Foot Locker,Northeast,New York,New York,178750,25,3004
Foot Locker,Northeast,New York,New York,375000,50,3004
Foot Locker,Northeast,New York,New York,169125,30,3004
Foot Locker,Northeast,New York,New York,166250,35,3004
Foot Locker,Northeast,New York,New York,161875,35,3004
Walmart,Northeast,New York,New York,162000,30,7802
Walmart,Northeast,New York,New York,174688,25,7802
Walmart,Northeast,New York,New York,360000,50,7802
Walmart,Northeast,New York,New York,165000,30,7802
Walmart,Northeast,New York,New York,161875,35,7802
Walmart,Northeast,New York,New York,157500,35,7802
Walmart,Northeast,New York,New York,162000,30,7802
Walmart,Northeast,New York,New York,162500,25,7802
Walmart,Northeast,New York,New York,170625,30,7802
Walmart,Northeast,New York,New York,175000,25,7802
Walmart,Northeast,New York,New York,373750,50,7802
Walmart,Northeast,New York,New York,160875,30,7802
Walmart,Northeast,New York,New York,177100,35,7802
Walmart,Northeast,New York,New York,173250,35,7802
Walmart,Northeast,New York,New York,170625,30,7802
Walmart,Northeast,New York,New York,170625,25,7802
Walmart,Northeast,New York,New York,390000,50,7802
Walmart,Northeast,New York,New York,165000,30,7802
Walmart,Northeast,New York,New York,182875,35,7802
Walmart,Northeast,New York,New York,173250,35,7802
Walmart,Northeast,New York,New York,175500,30,7802
Walmart,Northeast,New York,New York,175000,25,7802
Sports Direct,Northeast,New York,New York,78750,35,2164
Sports Direct,Northeast,New York,New York,110250,35,2164
Sports Direct,Northeast,New York,New York,85750,35,2164
Sports Direct,Northeast,New York,New York,110250,45,2164
Sports Direct,South,Texas,Houston,66000,30,2164
Sports Direct,South,Texas,Houston,122500,50,2164
Sports Direct,South,Texas,Houston,74375,35,2164
Sports Direct,South,Texas,Houston,104125,35,2164
Sports Direct,South,Texas,Houston,82688,35,2164
Sports Direct,South,Texas,Houston,98438,45,2164
Sports Direct,South,Texas,Houston,60000,30,2164
Sports Direct,South,Texas,Houston,122500,50,2164
Sports Direct,South,Texas,Houston,91875,35,2164
Sports Direct,South,Texas,Houston,122500,35,2164
Sports Direct,South,Texas,Houston,85750,35,2164
Sports Direct,South,Texas,Houston,108000,45,2164
Sports Direct,South,Texas,Houston,67500,30,2164
Sports Direct,South,Texas,Houston,130000,50,2164
Sports Direct,South,Texas,Houston,94500,35,2164
Sports Direct,South,Texas,Houston,126000,35,2164
Sports Direct,South,Texas,Houston,88813,35,2164
Sports Direct,South,Texas,Houston,112500,45,2164
Walmart,South,Texas,Houston,70875,30,7802
Walmart,South,Texas,Houston,160000,50,7802
Walmart,South,Texas,Houston,97125,35,7802
Walmart,South,Texas,Houston,129500,35,7802
Walmart,South,Texas,Houston,94938,35,7802
Walmart,South,Texas,Houston,126000,45,7802
Walmart,South,Texas,Houston,81000,30,7802
Walmart,South,Texas,Houston,190000,50,7802
Walmart,South,Texas,Houston,133000,35,7802
Walmart,South,Texas,Houston,149625,35,7802
Walmart,South,Texas,Houston,112000,35,7802
Walmart,South,Texas,Houston,135000,45,7802
Walmart,South,Texas,Houston,87750,30,7802
Walmart,South,Texas,Houston,250000,50,7802
Walmart,South,Texas,Houston,133000,35,7802
Walmart,South,Texas,Houston,149625,35,7802
Walmart,South,Texas,Houston,154000,35,7802
Walmart,South,Texas,Houston,126000,45,7802
Walmart,South,Texas,Houston,94500,30,7802
Walmart,South,Texas,Houston,243750,50,7802
Walmart,South,Texas,Houston,129500,35,7802
Walmart,South,Texas,Houston,145688,35,7802
Walmart,South,Texas,Houston,154000,35,7802
Walmart,South,Texas,Houston,117000,45,7802
Walmart,South,Texas,Houston,87750,30,7802
Walmart,South,Texas,Houston,225000,50,7802
Walmart,South,Texas,Houston,133875,35,7802
Walmart,South,Texas,Houston,133875,35,7802
Walmart,South,Texas,Houston,157500,35,7802
Walmart,South,Texas,Houston,140625,45,7802
Walmart,South,Texas,Houston,84375,30,7802
Walmart,South,Texas,Houston,233750,50,7802
Walmart,South,Texas,Houston,126000,35,7802
Walmart,South,Texas,Houston,126000,35,7802
Walmart,South,Texas,Houston,131250,35,7802
Walmart,South,Texas,Houston,135000,45,7802
Walmart,South,Texas,Houston,77625,30,7802
Walmart,South,Texas,Houston,206250,50,7802
Walmart,South,Texas,Houston,141750,35,7802
Walmart,South,Texas,Houston,141750,35,7802
Walmart,South,Texas,Houston,144375,35,7802
Walmart,South,Texas,Houston,151875,45,7802
Walmart,South,Texas,Houston,87750,30,7802
Walmart,South,Texas,Houston,233750,50,7802
Walmart,South,Texas,Houston,149625,35,7802
Walmart,South,Texas,Houston,149625,35,7802
Walmart,South,Texas,Houston,148750,35,7802
Walmart,South,Texas,Houston,157500,45,7802
Walmart,South,Texas,Houston,87750,30,7802
Walmart,South,Texas,Houston,247500,50,7802
West Gear,South,Texas,Houston,108500,35,3199
West Gear,South,Texas,Houston,77500,20,3199
West Gear,South,Texas,Houston,135625,35,3199
West Gear,South,Texas,Houston,93750,30,3199
West Gear,West,California,San Francisco,158125,50,3199
West Gear,West,California,San Francisco,58125,15,3199
West Gear,West,California,San Francisco,115500,35,3199
West Gear,West,California,San Francisco,72500,20,3199
West Gear,West,California,San Francisco,126875,35,3199
West Gear,West,California,San Francisco,86250,30,3199
West Gear,West,California,San Francisco,137500,50,3199
West Gear,West,California,San Francisco,52500,15,3199
West Gear,West,California,San Francisco,148750,35,3199
West Gear,West,California,San Francisco,84000,20,3199
West Gear,West,California,San Francisco,147000,35,3199
West Gear,West,California,San Francisco,108000,30,3199
West Gear,West,California,San Francisco,162500,50,3199
West Gear,West,California,San Francisco,63000,15,3199
West Gear,West,California,San Francisco,183750,35,3199
West Gear,West,California,San Francisco,87750,20,3199
West Gear,West,California,San Francisco,164938,35,3199
West Gear,West,California,San Francisco,112500,30,3199
West Gear,West,California,San Francisco,170625,50,3199
West Gear,West,California,San Francisco,84000,15,3199
West Gear,West,California,San Francisco,216000,40,3199
West Gear,West,California,San Francisco,121875,25,3199
West Gear,West,California,San Francisco,195000,40,3199
West Gear,West,California,San Francisco,136500,35,3199
West Gear,West,California,San Francisco,196625,55,3199
West Gear,West,California,San Francisco,116000,20,3199
West Gear,West,California,San Francisco,234000,40,3199
West Gear,West,California,San Francisco,134063,25,3199
West Gear,West,California,San Francisco,214500,40,3199
West Gear,West,California,San Francisco,147000,35,3199
West Gear,West,California,San Francisco,205563,55,3199
West Gear,West,California,San Francisco,140000,20,3199
West Gear,West,California,San Francisco,215250,35,3199
West Gear,West,California,San Francisco,113750,20,3199
West Gear,West,California,San Francisco,187688,35,3199
West Gear,West,California,San Francisco,130500,30,3199
West Gear,West,California,San Francisco,251875,50,3199
West Gear,West,California,San Francisco,93000,15,3199
West Gear,West,California,San Francisco,221813,35,3199
West Gear,West,California,San Francisco,129500,20,3199
West Gear,West,California,San Francisco,182000,35,3199
West Gear,West,California,San Francisco,146250,30,3199
West Gear,West,California,San Francisco,281250,50,3199
West Gear,West,California,San Francisco,87000,15,3199
West Gear,West,California,San Francisco,152625,30,3199
West Gear,West,California,San Francisco,83250,15,3199
West Gear,West,California,San Francisco,127875,30,3199
West Gear,West,California,San Francisco,99688,25,3199
West Gear,West,California,San Francisco,212063,45,3199
West Gear,West,California,San Francisco,54250,10,3199
West Gear,West,California,San Francisco,144375,30,3199
West Gear,West,California,San Francisco,78750,15,3199
West Gear,West,California,San Francisco,115500,30,3199
West Gear,West,California,San Francisco,92813,25,3199
West Gear,West,California,San Francisco,190125,45,3199
West Gear,West,California,San Francisco,49000,10,3199
West Gear,West,California,San Francisco,144375,30,3199
West Gear,West,California,San Francisco,78750,15,3199
West Gear,West,California,San Francisco,119625,30,3199
West Gear,West,California,San Francisco,96250,25,3199
West Gear,West,California,San Francisco,190125,45,3199
West Gear,West,California,San Francisco,54250,10,3199
West Gear,West,California,San Francisco,160875,30,3199
West Gear,West,California,San Francisco,87750,15,3199
West Gear,West,California,San Francisco,127875,30,3199
West Gear,West,California,San Francisco,106563,25,3199
West Gear,West,California,San Francisco,204750,45,3199
West Gear,West,California,San Francisco,56000,10,3199
Kohl's,West,California,San Francisco,98000,40,5427
Kohl's,West,California,San Francisco,78750,25,5427
Kohl's,West,California,San Francisco,126000,40,5427
Kohl's,West,California,San Francisco,86625,35,5427
Kohl's,West,California,Los Angeles,137500,55,5427
Kohl's,West,California,Los Angeles,63000,20,5427
Kohl's,West,California,Los Angeles,105000,40,5427
Kohl's,West,California,Los Angeles,73125,25,5427
Kohl's,West,California,Los Angeles,121500,40,5427
Kohl's,West,California,Los Angeles,82688,35,5427
Kohl's,West,California,Los Angeles,123750,55,5427
Kohl's,West,California,Los Angeles,58500,20,5427
Kohl's,West,California,Los Angeles,112000,40,5427
Kohl's,West,California,Los Angeles,73125,25,5427
Kohl's,West,California,Los Angeles,117000,40,5427
Kohl's,West,California,Los Angeles,86625,35,5427
Kohl's,West,California,Los Angeles,116875,55,5427
Kohl's,West,California,Los Angeles,56250,20,5427
Kohl's,West,California,Los Angeles,144000,40,5427
Kohl's,West,California,Los Angeles,75000,25,5427
Kohl's,West,California,Los Angeles,125000,40,5427
Kohl's,West,California,Los Angeles,82688,35,5427
Kohl's,West,California,Los Angeles,116875,55,5427
Kohl's,West,California,Los Angeles,78000,20,5427
Kohl's,West,California,Los Angeles,144000,40,5427
Kohl's,West,California,Los Angeles,81250,25,5427
Kohl's,West,California,Los Angeles,130000,40,5427
Kohl's,West,California,Los Angeles,86625,35,5427
Kohl's,West,California,Los Angeles,123750,55,5427
Kohl's,West,California,Los Angeles,81250,20,5427
Kohl's,West,California,Los Angeles,162000,40,5427
Kohl's,West,California,Los Angeles,93750,25,5427
Kohl's,West,California,Los Angeles,150000,40,5427
Kohl's,West,California,Los Angeles,98438,35,5427
Kohl's,West,California,Los Angeles,137500,55,5427
Kohl's,West,California,Los Angeles,104000,20,5427
Kohl's,West,California,Los Angeles,171000,40,5427
Kohl's,West,California,Los Angeles,100000,25,5427
Kohl's,West,California,Los Angeles,150000,40,5427
Kohl's,West,California,Los Angeles,102375,35,5427
Kohl's,West,California,Los Angeles,192500,55,5427
Kohl's,West,California,Los Angeles,91000,20,5427
Kohl's,West,California,Los Angeles,180000,40,5427
Kohl's,West,California,Los Angeles,116875,25,5427
Kohl's,West,California,Los Angeles,145000,40,5427
Kohl's,West,California,Los Angeles,118125,35,5427
Kohl's,West,California,Los Angeles,222750,55,5427
Kohl's,West,California,Los Angeles,84500,20,5427
Kohl's,West,California,Los Angeles,170000,40,5427
Kohl's,West,California,Los Angeles,116875,25,5427
Kohl's,West,California,Los Angeles,140000,40,5427
Kohl's,West,California,Los Angeles,113750,35,5427
Kohl's,West,California,Los Angeles,214500,55,5427
Kohl's,West,California,Los Angeles,91000,20,5427
Kohl's,West,California,Los Angeles,160000,40,5427
Kohl's,West,California,Los Angeles,110000,25,5427
Kohl's,West,California,Los Angeles,130000,40,5427
Kohl's,West,California,Los Angeles,109375,35,5427
Kohl's,West,California,Los Angeles,198000,55,5427
Kohl's,West,California,Los Angeles,84500,20,5427
Kohl's,West,California,Los Angeles,165000,40,5427
Kohl's,West,California,Los Angeles,113438,25,5427
Kohl's,West,California,Los Angeles,135000,40,5427
Kohl's,West,California,Los Angeles,113750,35,5427
Kohl's,West,California,Los Angeles,198000,55,5427
Kohl's,West,California,Los Angeles,91000,20,5427
Kohl's,West,California,Los Angeles,180000,40,5427
Kohl's,West,California,Los Angeles,123750,25,5427
Kohl's,West,California,Los Angeles,140000,40,5427
Kohl's,West,California,Los Angeles,122500,35,5427
Kohl's,West,California,Los Angeles,206250,55,5427
Kohl's,West,California,Los Angeles,94250,20,5427
Foot Locker,West,California,Los Angeles,85500,40,3004
Foot Locker,West,California,Los Angeles,43313,35,3004
Foot Locker,West,California,Los Angeles,33688,35,3004
Foot Locker,West,California,Los Angeles,20000,40,3004
Foot Locker,Midwest,Illinois,Chicago,33688,35,3004
Foot Locker,Midwest,Illinois,Chicago,61875,50,3004
Foot Locker,Midwest,Illinois,Chicago,94500,40,3004
Foot Locker,Midwest,Illinois,Chicago,27563,35,3004
Foot Locker,Midwest,Illinois,Chicago,27563,35,3004
Foot Locker,Midwest,Illinois,Chicago,16000,40,3004
Foot Locker,Midwest,Illinois,Chicago,33688,35,3004
Foot Locker,Midwest,Illinois,Chicago,61875,50,3004
Foot Locker,Midwest,Illinois,Chicago,99000,40,3004
Foot Locker,Midwest,Illinois,Chicago,35000,35,3004
Foot Locker,Midwest,Illinois,Chicago,31500,35,3004
Foot Locker,Midwest,Illinois,Chicago,13500,40,3004
Foot Locker,Midwest,Illinois,Chicago,26250,35,3004
Foot Locker,Midwest,Illinois,Chicago,56250,50,3004
Foot Locker,Midwest,Illinois,Chicago,90000,40,3004
